date,open,high,close,low,volume,amount
2016-11-23,9.71,9.9,9.79,9.63,15748769.0,154820520.0
2016-11-22,9.62,9.71,9.71,9.57,9227357.0,89325770.0
2016-11-21,9.72,9.74,9.61,9.56,13604530.0,131346281.0
2016-11-18,9.67,9.96,9.79,9.67,13300471.0,131119530.0
2016-11-17,9.77,9.81,9.72,9.59,11932085.0,115839963.0
2016-11-16,9.98,10.22,9.76,9.76,19179953.0,191682908.0
2016-11-15,9.97,10.15,10.03,9.87,27451043.0,274943998.0
2016-11-14,9.47,10.34,10.19,9.43,42781485.0,424590583.0
2016-11-11,9.51,9.62,9.52,9.37,21012170.0,200030351.0
2016-11-10,9.57,9.91,9.67,9.49,46245661.0,448633414.0
2016-11-09,9.04,9.34,9.34,8.96,23161625.0,212993884.0
2016-11-08,9.1,9.13,9.04,9.0,6552897.0,59520318.0
2016-11-07,8.97,9.15,9.05,8.97,11601211.0,105742007.0
2016-11-04,8.94,9.04,9.01,8.91,6660203.0,59966237.0
2016-11-03,8.85,9.01,8.94,8.83,8433399.0,75523583.0
2016-11-02,9.0,9.09,8.94,8.88,9369555.0,84427274.0
2016-11-01,9.06,9.11,9.05,8.97,11227242.0,101841983.0
2016-10-31,8.9,9.06,9.05,8.81,12437410.0,112080085.0
2016-10-28,8.92,8.98,8.87,8.79,8638360.0,77165747.0
2016-10-27,9.04,9.06,8.89,8.87,9443091.0,84721740.0
2016-10-26,8.91,9.06,9.02,8.88,10262921.0,92427192.0
2016-10-25,8.87,8.96,8.94,8.83,9473704.0,84672978.0
2016-10-24,8.67,8.94,8.91,8.65,12304399.0,109254550.0
2016-10-21,8.79,8.83,8.68,8.63,7312814.0,63922104.0
2016-10-20,8.78,8.9,8.83,8.76,8972129.0,79533176.0
2016-10-19,8.83,8.9,8.77,8.75,8244527.0,72843439.0
2016-10-18,8.66,8.81,8.81,8.64,6960352.0,61161949.0
2016-10-17,8.85,8.86,8.65,8.65,9804006.0,86048315.0
2016-10-14,8.83,8.98,8.81,8.78,9289072.0,82712114.0
2016-10-13,8.92,9.01,8.8,8.77,9929490.0,88226119.0
2016-10-12,8.84,9.08,8.97,8.75,18927221.0,169866097.0
2016-10-11,8.45,8.87,8.86,8.36,19001105.0,165758053.0
2016-10-10,8.62,8.62,8.47,8.22,14254394.0,119984369.0
2016-09-30,8.46,8.69,8.66,8.43,10112603.0,87561386.0
2016-09-29,8.42,8.59,8.45,8.42,8537687.0,72951036.0
2016-09-28,8.3,8.55,8.45,8.26,8758741.0,74088953.0
2016-09-27,8.11,8.37,8.29,8.09,8951489.0,74191207.0
2016-09-26,8.4,8.43,8.1,8.09,8552512.0,70604878.0
2016-09-23,8.55,8.63,8.39,8.36,6804364.0,58086178.0
2016-09-22,8.55,8.72,8.56,8.53,9306459.0,80682044.0
2016-09-21,8.46,8.54,8.47,8.39,4235613.0,36113178.0
2016-09-20,8.4,8.51,8.45,8.39,4161082.0,35313232.0
2016-09-19,8.27,8.45,8.44,8.27,4524749.0,38147673.0
2016-09-14,8.41,8.44,8.32,8.3,4833849.0,40673801.0
2016-09-13,8.37,8.45,8.38,8.36,4564501.0,38457160.0
2016-09-12,8.37,8.52,8.32,8.32,8902902.0,75114198.0
2016-09-09,8.8,8.86,8.59,8.59,10958409.0,95993677.0
2016-09-08,8.8,8.89,8.78,8.76,6161478.0,54517036.0
2016-09-07,8.84,8.91,8.79,8.78,10414883.0,92262335.0
2016-09-06,8.88,8.91,8.87,8.65,17416498.0,152947428.0
2016-09-05,9.03,9.1,8.89,8.84,7941008.0,71538223.0
2016-09-02,9.1,9.13,8.99,8.94,7097996.0,64322010.0
2016-09-01,9.05,9.17,9.09,8.92,11191971.0,101354719.0
2016-08-31,8.89,9.28,9.08,8.89,16444994.0,150309273.0
2016-08-30,8.94,9.06,8.97,8.75,13782695.0,122975676.0
2016-08-29,8.89,9.01,8.9,8.83,5970990.0,53373453.0
2016-08-26,9.16,9.21,8.89,8.89,13067982.0,118826371.0
2016-08-25,9.1,9.24,9.14,8.92,13666399.0,124098036.0
2016-08-24,9.27,9.49,9.22,9.09,27370715.0,254488947.0
2016-08-23,8.99,9.4,9.35,8.73,31353969.0,286436277.0
2016-08-22,8.93,9.02,8.92,8.83,15608157.0,139891535.0
2016-08-19,9.02,9.21,8.94,8.87,19920603.0,180552624.0
2016-08-18,9.09,9.5,9.14,8.86,36396947.0,335983108.0
2016-08-17,8.89,9.19,9.11,8.77,26379171.0,238157021.0
2016-08-16,8.9,9.03,8.85,8.78,20573103.0,183379062.0
2016-08-15,8.71,9.14,8.93,8.69,38741477.0,348038051.0
2016-08-12,8.23,8.72,8.67,8.2,23767947.0,203210489.0
2016-08-11,8.4,8.49,8.22,8.21,10614177.0,88835036.0
2016-08-10,8.65,8.65,8.43,8.41,13902340.0,118355528.0
2016-08-09,8.71,8.72,8.65,8.53,15560000.0,134248848.0
2016-08-08,8.35,8.82,8.7,8.29,23868733.0,206660840.0
2016-08-05,8.52,8.55,8.4,8.33,16958738.0,143414350.0
2016-08-04,8.3,8.52,8.52,8.15,23189255.0,194964396.0
2016-08-03,7.84,8.51,8.33,7.84,25696353.0,212498995.0
2016-08-02,7.87,7.89,7.89,7.76,6946026.0,54569541.0
2016-08-01,8.05,8.07,7.82,7.66,9552247.0,74928035.0
2016-07-29,8.1,8.15,8.04,8.0,9479461.0,76576698.0
2016-07-28,8.04,8.19,8.16,7.94,12874223.0,104140891.0
2016-07-27,8.55,8.59,8.08,7.89,20241109.0,167049882.0
2016-07-26,8.57,8.65,8.57,8.49,14522891.0,124938272.0
2016-07-25,8.71,8.82,8.44,8.35,26763547.0,230299605.0
2016-07-22,9.11,9.22,8.82,8.82,31652622.0,285572326.0
2016-07-21,8.97,9.56,9.35,8.86,59940465.0,552792367.0
2016-07-20,8.78,8.78,8.78,8.78,1179844.0,10394426.0
2016-04-12,7.97,8.04,7.99,7.83,8018803.0,63728768.0
2016-04-11,7.82,8.06,8.02,7.77,12401949.0,98850392.0
2016-04-08,7.86,7.87,7.71,7.57,11309200.0,87474688.0
2016-04-07,8.08,8.12,7.88,7.86,10323908.0,82379288.0
2016-04-06,7.88,8.11,8.08,7.84,13206127.0,106142224.0
2016-04-05,7.67,8.1,7.99,7.59,21591232.0,171369120.0
2016-04-01,7.63,7.67,7.64,7.43,8423288.0,63770700.0
2016-03-31,7.56,7.73,7.63,7.56,9418304.0,72139272.0
2016-03-30,7.39,7.58,7.55,7.39,8709355.0,65552744.0
2016-03-29,7.58,7.58,7.32,7.18,10526092.0,78218824.0
2016-03-28,7.78,7.88,7.57,7.53,14709904.0,113736752.0
2016-03-25,7.66,7.91,7.74,7.59,12003416.0,92750632.0
